Project Description,Location,Contractor,Cost,Completion Date
"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,137272357.59,05/30/2025
"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",AGUSAN DEL NORTE,RAMISES CONSTRUCTION,96158174.5,05/30/2025
"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",BATAAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),48999998.54,05/28/2025
"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",COTABATO (NORTH COTABATO),MAER SUMMIT KONSTRUKT CO.,96017492.67,05/27/2025
"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",CEBU,XLA CONSTRUCTION,4939190.15,05/27/2025
"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES,19299949.9,05/27/2025
"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION,14699999.28,05/26/2025
"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",BUKIDNON,VEN RAY CONSTRUCTION CORPORATION,96500000.0,05/23/2025
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,CELSO C. FERRER CONSTRUCTION CORP.,95052371.1,05/23/2025
"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",TARLAC,BIG BERTHA CONSTRUCTION & DEVELOPMENT,14229719.67,05/22/2025
"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,94675499.87,05/22/2025
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,72274865.65,05/21/2025
"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",PANGASINAN,GED CONSTRUCTION,4850666.92,05/21/2025
"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,94714433.36,05/21/2025
"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",PALAWAN,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,14669999.48,05/19/2025
"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",BATANGAS,830 BUILDERS & DEVELOPERS CORP.,4753000.0,05/19/2025
"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,14700000.0,05/19/2025
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 2, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,72274740.23,05/15/2025
"Construction of Flood Control Structure Along Cabadbaran River Upstream, Package 3, Cabadbaran City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,192999918.68,05/15/2025
"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,45000000.0,05/14/2025
"Construction of Siffu River Flood Control Project, Barangay Masigun Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),96480164.87,05/13/2025
"Construction of Drainage Structure, Camia Street, Barangay Dadiangas East, General Santos City",SOUTH COTABATO,BAYTORR CONSTRUCTION AND DEVELOPMENT CORPORATION,4939993.97,5/12/2025
"Construction of Flood Mitigation Structure, barangay Paradise (Phase 2), Cabanglasan, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,96500000.0,5/9/2025
"Construction of Flood Control Structure, Brgy. Dianed, Dipaculao, Aurora",AURORA,ALEXI LOUISSE CONSTRUCTION & GENERAL MERCHANDISE,47338372.71,5/8/2025
"Construction of Booster Pumping Station Along Estero de Tripa de Gallina Along Pedro Gil Street Barangay 869, Manila City, Phase II",CITY OF MANILA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,137222334.81,5/6/2025
"Construction of Bank Revetment along Bislig River (Pamanlinan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),96499134.76,5/2/2025
"Construction of Flood Control Structure Along Mogpog River, Brgy. Magapua, Mogpog, Marinduque",MARINDUQUE,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",96495098.79,5/1/2025
"Construction of Flood Control Structure, Barangay Punta Flecha, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,14679957.15,04/29/2025
"Construction of Flood Control Structure, Barangay Colojo, Pitogo, Zamboanga del Sur",ZAMBOANGA DEL SUR,ZMS CONST. & DEV. CORP. (FORMERLY:ZMS CONSTRUCTION,14679922.81,04/29/2025
"Construction of River Dike at Lunao Bridge (Abutment A and B), Gingoog City, Misamis Oriental",MISAMIS ORIENTAL,RITCHE-NATHALIE DEVELOPMENT CORPORATION (FORMERLY: RITCHE-NATHALIE BUILDERS AND GEN. MERCHANDISE),96500000.0,04/28/2025
"Construction of Slope Protection, Cagayan de Oro Convention Center, Indahag, Cagayan de Oro City (Phase 1)",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,60252341.13,04/28/2025
"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),72325000.0,04/28/2025
"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",SOUTH COTABATO,MFN BUILDERS,14689979.39,04/25/2025
"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,96400433.63,04/25/2025
"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",NUEVA ECIJA,"R.A. PAHATI CONST. & SUPPLY, INC.",48754753.43,04/25/2025
"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",NUEVA ECIJA,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,96013671.84,04/24/2025
"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",NUEVA ECIJA,F-DEY CONSTRUCTION AND TRADING,96017500.53,04/24/2025
"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",SURIGAO DEL SUR,CRJ CONST AND DEVELOPMENT INC,4934983.08,04/23/2025
"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",NEGROS ORIENTAL,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,48852510.0,04/22/2025
"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",CITY OF MANILA,XIEH CONSTRUCTION,14552258.16,04/21/2025
"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",DAVAO DEL SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",96495228.29,04/20/2025
"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",CITY OF MANILA,A.M. SALONG CONSTRUCTION,37962740.47,04/20/2025
"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,70167867.76,04/18/2025
"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",TARLAC,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,14700000.0,04/16/2025
"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",TARLAC,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),47496290.56,04/16/2025
"Construction of Itum River Control, Itum, Duero, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,96019080.53,04/15/2025
"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,39565619.24,04/15/2025
"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,MINDALIFI CONSTRUCTION AND SUPPLY,48999976.56,04/14/2025
"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,110634633.37,4/12/2025
"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",BULACAN,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),48249942.61,4/11/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),144750000.0,4/11/2025
"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,96500000.0,4/10/2025
"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",CEBU,QM BUILDERS,144750000.0,4/10/2025
"Construction of Viga Flood Control Structure, Antequera, Bohol",BOHOL,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)",67500000.0,4/10/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),144750000.0,4/10/2025
"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",NAVOTAS CITY,721 BUILDERS CORPORATION,29399282.43,4/8/2025
