Project Description,Location,Contractor,Cost,Completion Date
"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,"137,272,357.59",05/30/2025
"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",AGUSAN DEL NORTE,RAMISES CONSTRUCTION,"96,158,174.50",05/30/2025
"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",BATAAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"48,999,998.54",05/28/2025
"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",COTABATO (NORTH COTABATO),MAER SUMMIT KONSTRUKT CO.,"96,017,492.67",05/27/2025
"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",CEBU,XLA CONSTRUCTION,"4,939,190.15",05/27/2025
"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES,"19,299,949.90",05/27/2025
"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION,"14,699,999.28",05/26/2025
"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",BUKIDNON,VEN RAY CONSTRUCTION CORPORATION,"96,500,000.00",05/23/2025
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,CELSO C. FERRER CONSTRUCTION CORP.,"95,052,371.10",05/23/2025
"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",TARLAC,BIG BERTHA CONSTRUCTION & DEVELOPMENT,"14,229,719.67",05/22/2025
"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,"94,675,499.87",05/22/2025
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"72,274,865.65",05/21/2025
"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",PANGASINAN,GED CONSTRUCTION,"4,850,666.92",05/21/2025
"Installation of Booster Pump and Accessories along Estero dela Reina, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / 4 J'S CONSTRUCTION SERVICES,"94,714,433.36",05/21/2025
"Construction of Slope Protection Structure, Inagawan CIS, Puerto Princesa City, Palawan",PALAWAN,KRATOS STRUCPRIME CONSTRUCTION AND SUPPLY CORP,"14,669,999.48",05/19/2025
"Construction of Flood Mitigation Structure in Barangay Malibu, Tuy, Batangas",BATANGAS,830 BUILDERS & DEVELOPERS CORP.,"4,753,000.00",05/19/2025
"Rehabilitation of Sabo Dam including Drainage System at Tolega Norte CIS, Moncada, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,"14,700,000.00",05/19/2025
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 2, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"72,274,740.23",05/15/2025
"Construction of Flood Control Structure Along Cabadbaran River Upstream, Package 3, Cabadbaran City, Agusan del Norte",AGUSAN DEL NORTE,TRIPARCO DEVELOPMENT CORPORATION,"192,999,918.68",05/15/2025
"Construction of Bank Protection Structure along Cadaanan Creek (Segment B), Anao, Tarlac",TARLAC,T2B3 BUILDERS AND SUPPLIES CORP.,"45,000,000.00",05/14/2025
"Construction of Siffu River Flood Control Project, Barangay Masigun Phase II, Sta. 0+960 - Sta. 1+760, Roxas, Isabela",ISABELA,RRC CO. INC. (FORMERLY: R R C CONSTRUCTION),"96,480,164.87",05/13/2025
