Project Description,Location,Contractor,Cost,Completion Date,Column_5,content,class
"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,"137,272,357.59",05/30/2025,REPORT,,
"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",AGUSAN DEL NORTE,RAMISES CONSTRUCTION,"96,158,174.50",05/30/2025,REPORT,,
"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",BATAAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"48,999,998.54",05/28/2025,REPORT,,
"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",COTABATO (NORTH COTABATO),MAER SUMMIT KONSTRUKT CO.,"96,017,492.67",05/27/2025,REPORT,,
"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES,"19,299,949.90",05/27/2025,REPORT,,
"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",BUKIDNON,VEN RAY CONSTRUCTION CORPORATION,"96,500,000.00",05/23/2025,REPORT,,
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,CELSO C. FERRER CONSTRUCTION CORP.,"95,052,371.10",05/23/2025,REPORT,,
"Installation of Booster Pump at Estero de San Miguel, Package 1b, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / GENECOR CONSTRUCTION SUPPLIES TRADING,"94,675,499.87",05/22/2025,REPORT,,
"Construction of Flood Mitigation Structure along Roxas to Sta. Monica Road, Libertad Bridge 1, Sta. Monica, Surigao del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,"72,274,865.65",05/21/2025,REPORT,,
"Construction of Line Canal, Barangay Quibuar, Alaminos City, Pangasinan",PANGASINAN,GED CONSTRUCTION,"4,850,666.92",05/21/2025,REPORT,,
